session_id,session_date,instructor_id,course_id
1,2023-12-01,9,1
2,2023-12-01,9,2
3,2023-12-01,9,3
4,2023-11-26,9,1
5,2023-11-26,9,2
6,2023-11-26,9,3
7,2023-11-26,9,1
8,2023-11-26,9,2
9,2023-11-26,9,3
10,2023-11-23,9,1
11,2023-11-23,9,2
12,2023-11-23,9,3
13,2023-11-20,2,19
14,2023-11-17,9,1
15,2023-11-17,9,2
16,2023-11-17,9,3
17,2023-11-17,1,7
18,2023-11-16,9,1
19,2023-11-16,9,2
20,2023-11-16,9,3
21,2023-11-15,9,1
22,2023-11-15,9,2
23,2023-11-15,9,3
24,2023-11-13,9,1
25,2023-11-13,9,2
26,2023-11-13,9,3
27,2023-11-12,3,1
28,2023-11-12,3,2
29,2023-11-12,3,3
30,2023-11-06,9,1
31,2023-11-06,9,2
32,2023-11-06,9,3
33,2023-11-03,9,1
34,2023-11-03,9,2
35,2023-11-03,9,3
36,2023-11-03,1,7
37,2023-11-01,1,7
38,2023-11-01,9,1
39,2023-11-01,9,2
40,2023-11-01,9,3
41,2023-10-29,9,1
42,2023-10-29,9,2
43,2023-10-29,9,3
44,2023-10-27,9,1
45,2023-10-27,9,2
46,2023-10-27,9,3
47,2023-10-26,2,1
48,2023-10-26,2,2
49,2023-10-26,2,3
50,2023-10-25,9,1
51,2023-10-25,9,2
52,2023-10-25,9,3
53,2023-10-24,1,4
54,2023-10-24,9,1
55,2023-10-24,1,5
56,2023-10-24,9,2
57,2023-10-24,9,3
58,2023-10-23,9,1
59,2023-10-23,9,2
60,2023-10-23,9,3
61,2023-10-17,9,1
62,2023-10-17,9,2
63,2023-10-17,9,3
64,2023-10-17,9,4
65,2023-10-17,9,5
66,2023-10-17,9,6
67,2023-10-16,9,1
68,2023-10-16,9,2
69,2023-10-16,9,3
70,2023-10-15,9,1
71,2023-10-15,9,2
72,2023-10-15,9,3
73,2023-10-12,9,1
74,2023-10-12,9,2
75,2023-10-12,9,3
76,2023-10-11,7,1
77,2023-10-11,7,2
78,2023-10-11,7,3
79,2023-10-10,9,1
80,2023-10-10,9,2
81,2023-10-10,9,3
82,2023-10-05,2,17
83,2023-10-05,2,13
84,2023-10-03,2,4
85,2023-10-02,2,1
86,2023-10-02,2,2
87,2023-10-02,2,3
88,2023-10-01,2,1
89,2023-10-01,2,2
90,2023-10-01,2,3
91,2023-10-01,2,5
92,2023-09-26,2,1
93,2023-09-26,2,2
94,2023-09-26,2,3
95,2023-09-13,1,4
96,2023-09-12,1,1
97,2023-09-12,1,2
98,2023-09-12,1,3
99,2023-09-12,1,13
100,2023-09-11,9,1
101,2023-09-11,9,2
102,2023-09-11,7,1
103,2023-09-11,9,3
104,2023-09-11,7,1
105,2023-09-11,7,2
106,2023-09-11,7,3
107,2023-09-10,9,1
108,2023-09-10,9,2
109,2023-09-10,9,3
110,2023-09-08,1,4
111,2023-09-08,1,5
112,2023-09-03,9,1
113,2023-09-03,9,2
114,2023-09-03,9,3
115,2023-08-29,9,1
116,2023-08-29,9,2
117,2023-08-29,9,3
118,2023-08-29,9,4
119,2023-08-29,9,5
120,2023-08-28,9,1
121,2023-08-28,9,2
122,2023-08-28,9,3
123,2023-08-20,1,13
124,2023-08-17,9,1
125,2023-08-17,9,2
126,2023-08-17,9,3
127,2023-08-10,9,1
128,2023-08-10,9,2
129,2023-08-10,9,3
130,2023-08-08,9,1
131,2023-08-08,9,2
132,2023-08-08,9,3
133,2023-07-31,1,4
134,2023-07-30,1,5
135,2023-07-27,9,5
136,2023-07-25,9,1
137,2023-07-25,9,2
138,2023-07-25,9,3
139,2023-07-25,9,4
